,adult,budget,genres,id,imdb_id,original_language,popularity,production_companies,release_date,revenue,runtime,status,title,vote_average,vote_count
1664,FALSE,7000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2998,tt0066601,en,6.258456,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",2/9/1970,1000000.0,113.0,Released,Zabriskie Point,7.1,78.0
1677,FALSE,25000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",3021,tt0450385,en,9.196884,"[{'name': 'The Weinstein Company', 'id': 308}, {'name': 'Di Bonaventura Pictures', 'id': 435}, {'name': 'Dimension Films', 'id': 7405}]",7/12/2007,94679598.0,104.0,Released,1408,6.5,1372.0
1686,FALSE,10000000,"[{'id': 18, 'name': 'Drama'}]",3033,tt0120684,en,6.788021,"[{'name': 'Lions Gate Films', 'id': 35}, {'name': 'Flashpoint (I)', 'id': 13495}, {'name': 'Showtime Networks', 'id': 18880}]",1/21/1998,6451628.0,105.0,Released,Gods and Monsters,6.8,82.0
1687,FALSE,2800000,"[{'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",3034,tt0072431,en,9.339316,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Crossbow Productions', 'id': 1296}, {'name': 'Gruskoff/Venture Films', 'id': 1297}, {'name': 'Jouer Limited', 'id': 1298}]",12/15/1974,86273333.0,106.0,Released,Young Frankenstein,7.7,880.0
1688,FALSE,291000,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",3035,tt0021884,en,8.091603,"[{'name': 'Universal Pictures', 'id': 33}]",11/21/1931,12000000.0,71.0,Released,Frankenstein,7.3,295.0
1689,FALSE,45000000,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10749, 'name': 'Romance'}]",3036,tt0109836,en,14.287753,"[{'name': 'American Zoetrope', 'id': 70}, {'name': 'TriStar Pictures', 'id': 559}]",11/4/1994,112006296.0,123.0,Released,Mary Shelley's Frankenstein,6.1,272.0
1690,FALSE,3000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",3037,tt0806686,de,7.322719,"[{'name': 'Schramm Film Koerner & Weber', 'id': 138}, {'name': 'Medienboard Berlin-Brandenburg GmbH', 'id': 451}, {'name': 'Zweites Deutsches Fernsehen (ZDF)', 'id': 4606}, {'name': 'ARTE', 'id': 5766}]",2/14/2007,0.0,89.0,Released,Yella,6.0,16.0
1691,FALSE,4200000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",3040,tt0403358,ru,8.803869,"[{'name': 'Bazelevs Production', 'id': 1038}, {'name': 'Channel One Russia', 'id': 1039}, {'name': 'TABBAK', 'id': 1040}, {'name': 'The First Channel', 'id': 1272}]",6/27/2004,32000000.0,114.0,Released,Night Watch,6.3,212.0
1693,FALSE,450000,"[{'id': 27, 'name': 'Horror'}]",3043,tt0071508,en,3.104212,"[{'name': 'Braunsberg Productions', 'id': 1299}, {'name': 'Carlo Ponti Cinematografica', 'id': 1300}]",11/30/1973,0.0,95.0,Released,Flesh for Frankenstein,5.4,28.0
1695,FALSE,15000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}]",3049,tt0109040,en,11.247957,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Morgan Creek Productions', 'id': 10210}]",2/4/1994,107217396.0,86.0,Released,Ace Ventura: Pet Detective,6.4,1684.0
1696,FALSE,71000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",3050,tt0118998,en,9.439079,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Joseph M. Singer Entertainment', 'id': 1301}, {'name': 'Davis Entertainment', 'id': 1302}]",6/22/1998,294456605.0,85.0,Released,Doctor Dolittle,5.4,705.0
1699,FALSE,2000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",3053,tt0061655,en,9.182414,"[{'name': 'Filmways Pictures', 'id': 1138}, {'name': 'Cadre Films', 'id': 1303}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",2/1/1967,0.0,108.0,Released,The Fearless Vampire Killers,6.9,137.0
1701,FALSE,5000000,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",3055,tt0062430,en,2.474398,"[{'name': 'Red Lion', 'id': 2409}]",12/27/1967,50000000.0,123.0,Released,Valley of the Dolls,6.7,30.0
1704,FALSE,8394751,"[{'id': 18, 'name': 'Drama'}]",3059,tt0006864,en,4.282118,"[{'name': 'Triangle Film Corporation', 'id': 1307}, {'name': 'Wark Producing Corp.', 'id': 1308}]",9/4/1916,0.0,197.0,Released,Intolerance: Love's Struggle Throughout the Ages,7.4,63.0
1705,FALSE,245000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",3060,tt0015624,en,2.084627,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",11/5/1925,22000000.0,151.0,Released,The Big Parade,7.0,22.0
1707,FALSE,439000,"[{'id': 10402, 'name': 'Music'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",3062,tt0024034,en,4.718154,"[{'name': 'Warner Bros.', 'id': 6194}]",2/2/1933,2281000.0,89.0,Released,42nd Street,6.1,38.0
1717,FALSE,325000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",3078,tt0025316,en,6.465257,"[{'name': 'Columbia Pictures Corporation', 'id': 441}]",2/22/1934,4500000.0,105.0,Released,It Happened One Night,7.7,283.0
1719,FALSE,609000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",3080,tt0027125,en,7.122093,"[{'name': 'RKO Radio Pictures', 'id': 6}]",9/6/1935,3202000.0,101.0,Released,Top Hat,7.4,62.0
1721,FALSE,1,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",3082,tt0027977,en,8.159556,"[{'name': 'United Artists', 'id': 60}, {'name': 'Charles Chaplin Productions', 'id': 1315}]",2/5/1936,8500000.0,87.0,Released,Modern Times,8.1,881.0
1722,FALSE,1500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",3083,tt0031679,en,8.168694,"[{'name': 'Columbia Pictures', 'id': 5}]",10/19/1939,9600000.0,129.0,Released,Mr. Smith Goes to Washington,7.9,245.0
1728,FALSE,3000000,"[{'id': 37, 'name': 'Western'}]",3089,tt0040724,en,6.09018,"[{'name': 'United Artists', 'id': 60}, {'name': 'Monterey Productions', 'id': 1316}, {'name': 'Charles K. Feldman Group', 'id': 1317}]",8/26/1948,9012000.0,133.0,Released,Red River,7.3,85.0
1729,FALSE,3800000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",3090,tt0040897,en,8.070589,"[{'name': 'Warner Bros.', 'id': 6194}]",1/24/1948,4307000.0,126.0,Released,The Treasure of the Sierra Madre,7.9,285.0
1731,FALSE,70000000,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",3093,tt0430912,en,15.321902,"[{'name': 'Intermedia Films', 'id': 763}, {'name': 'Kanzaman', 'id': 4169}, {'name': 'C-2 Pictures', 'id': 7340}, {'name': 'IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG', 'id': 19116}]",3/29/2006,38629478.0,114.0,Released,Basic Instinct 2,4.6,183.0
1732,FALSE,10000000,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 12, 'name': 'Adventure'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",3097,tt0307596,en,0.524432,[],5/24/2003,25800.0,127.0,Released,"The Tulse Luper Suitcases, Part 1: The Moab Story",7.8,5.0
1739,FALSE,3100000,"[{'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",3110,tt0046303,en,6.63816,"[{'name': 'Paramount Pictures Corporation', 'id': 7047}]",4/23/1953,20000000.0,118.0,Released,Shane,7.3,143.0
1740,FALSE,5019770,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",3111,tt0047522,en,7.051183,"[{'name': 'Transcona Enterprises', 'id': 1321}, {'name': 'Warner Bros.', 'id': 6194}]",9/29/1954,0.0,181.0,Released,A Star Is Born,7.1,56.0
1741,FALSE,795000,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",3112,tt0048424,en,7.892337,"[{'name': 'United Artists', 'id': 60}, {'name': 'The Criterion Collection', 'id': 10932}]",4/3/1955,0.0,93.0,Released,The Night of the Hunter,7.9,335.0
1742,FALSE,3750000,"[{'id': 37, 'name': 'Western'}]",3114,tt0049730,en,7.803856,"[{'name': 'C.V. Whitney Pictures', 'id': 1322}, {'name': 'Warner Bros.', 'id': 6194}]",3/13/1956,0.0,119.0,Released,The Searchers,7.7,332.0
1744,FALSE,3600000,"[{'id': 18, 'name': 'Drama'}]",3116,tt0064665,en,10.579988,"[{'name': 'United Artists', 'id': 60}, {'name': 'Florin Productions', 'id': 1323}, {'name': 'Jerome Hellman Productions', 'id': 1324}]",5/25/1969,44785053.0,113.0,Released,Midnight Cowboy,7.4,307.0
1747,FALSE,2200000,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",3121,tt0073440,en,9.042678,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'American Broadcasting Company (ABC)', 'id': 3065}, {'name': 'ABC Entertainment', 'id': 18742}]",6/11/1975,0.0,159.0,Released,Nashville,7.2,79.0
1752,FALSE,100000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 80, 'name': 'Crime'}]",3131,tt0217505,en,14.922399,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'Initial Entertainment Group (IEG)', 'id': 7380}, {'name': 'Alberto Grimaldi Productions', 'id': 7381}]",12/14/2002,193772504.0,167.0,Released,Gangs of New York,7.1,1964.0
1753,FALSE,70000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",3132,tt0280486,en,9.540021,"[{'name': 'Jerry Bruckheimer Films', 'id': 130}, {'name': 'Touchstone Pictures', 'id': 9195}, {'name': 'Stillking Films', 'id': 11345}]",6/7/2002,65977295.0,116.0,Released,Bad Company,5.4,232.0
1765,FALSE,858000,"[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",3170,tt0034492,en,13.698132,"[{'name': 'Walt Disney Productions', 'id': 3166}]",8/14/1942,267447150.0,70.0,Released,Bambi,6.8,1450.0
1767,FALSE,75000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]",3172,tt0219965,en,13.136791,"[{'name': 'Cheyenne Enterprises', 'id': 890}, {'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'Empire Pictures', 'id': 1212}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Hyde Park Entertainment', 'id': 13816}, {'name': 'Baltimore Spring Creek Productions', 'id': 16061}, {'name': 'Lotus Pictures', 'id': 52944}]",10/12/2001,67631903.0,123.0,Released,Bandits,6.2,307.0
1769,FALSE,11000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",3175,tt0072684,en,14.003467,"[{'name': 'Hawk Films', 'id': 88}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Peregrine', 'id': 11272}]",12/18/1975,20000000.0,184.0,Released,Barry Lyndon,7.7,521.0
1770,FALSE,4500000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}]",3176,tt0266308,ja,12.701098,"[{'name': 'Nippon Shuppan Hanbai (Nippan) K.K.', 'id': 3032}, {'name': 'GAGA', 'id': 3656}, {'name': 'WoWow', 'id': 5073}, {'name': 'AM Associates', 'id': 11538}, {'name': 'Kobi Co.', 'id': 11539}, {'name': 'MF Pictures', 'id': 11540}]",12/16/2000,25000000.0,114.0,Released,Battle Royale,7.3,992.0
1771,FALSE,9000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",3177,tt0338763,ja,7.500419,"[{'name': 'Fukasaku-gumi', 'id': 1352}]",7/5/2003,0.0,155.0,Released,Battle Royale II: Requiem,4.9,115.0
1773,FALSE,12000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}]",3179,tt0115641,en,8.855685,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Geffen Pictures', 'id': 360}, {'name': 'MTV Films', 'id': 746}]",12/15/1996,0.0,81.0,Released,Beavis and Butt-Head Do America,6.5,169.0
1775,FALSE,7000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",3291,tt0433383,en,7.523098,"[{'name': '2929 Productions', 'id': 846}, {'name': 'Participant Productions', 'id': 2030}, {'name': 'Warner Independent Pictures (WIP)', 'id': 11509}, {'name': 'Davis Films', 'id': 14175}, {'name': 'Section Eight Productions', 'id': 14315}, {'name': 'Redbus Pictures', 'id': 20451}, {'name': 'Tohokushinsha', 'id': 51850}]",9/16/2005,54600000.0,93.0,Released,"Good Night, and Good Luck.",6.8,274.0
1777,FALSE,1453000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",3309,tt0037913,en,4.497049,"[{'name': 'Warner Bros.', 'id': 6194}]",9/24/1945,5638000.0,111.0,Released,Mildred Pierce,7.4,81.0
1785,FALSE,20000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",3432,tt0780571,en,7.423812,"[{'name': 'Tig Productions', 'id': 335}, {'name': 'Eden Rock Media', 'id': 2273}, {'name': 'Element Films', 'id': 2274}, {'name': 'Relativity Media', 'id': 7295}]",6/1/2007,41637263.0,120.0,Released,Mr. Brooks,6.8,543.0
1792,FALSE,5800000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",3482,tt0059825,en,4.412564,"[{'name': 'Les Productions Artistes Associés', 'id': 64}, {'name': 'Les Films Ariane', 'id': 7110}, {'name': 'Dear Film Produzione', 'id': 11929}]",9/21/1964,6800000.0,133.0,Released,The Train,7.2,74.0
1797,FALSE,30000000,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",3489,tt0411061,en,8.552967,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Nu Image Entertainment', 'id': 713}, {'name': 'Brightlight Pictures', 'id': 1063}]",2/14/2007,16930884.0,108.0,Released,88 Minutes,5.7,323.0
1798,FALSE,8700000,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",3509,tt0405296,en,11.643026,"[{'name': 'Thousand Words', 'id': 380}, {'name': 'Warner Independent Pictures (WIP)', 'id': 11509}, {'name': 'Detour Filmproduction', 'id': 11510}, {'name': 'Section Eight Productions', 'id': 14315}]",5/25/2006,7659918.0,100.0,Released,A Scanner Darkly,6.8,540.0
1799,FALSE,6700000,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",3511,tt0906734,en,3.365903,"[{'name': 'Gaumont', 'id': 9}, {'name': 'Left Turn Films', 'id': 1435}, {'name': 'Ugly Duckling Films', 'id': 1436}, {'name': 'Gaumont International', 'id': 7961}, {'name': 'Thriller', 'id': 23611}]",1/18/2008,0.0,93.0,Released,The Broken,5.6,63.0
1800,FALSE,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",3512,tt0114781,en,7.490247,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Seagal/Nasso Productions', 'id': 17825}, {'name': 'Victor Company of Japan (JVC)', 'id': 21480}, {'name': 'Cutting Edge Films', 'id': 63906}]",7/13/1995,104324083.0,100.0,Released,Under Siege 2: Dark Territory,5.6,217.0
1801,FALSE,20000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}, {'id': 53, 'name': 'Thriller'}]",3513,tt0126388,en,5.951361,"[{'name': 'Quadra Entertainment', 'id': 1438}]",12/3/1998,0.0,98.0,Released,Legionnaire,5.2,106.0
1804,FALSE,28000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",3525,tt0096463,en,8.318954,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]",12/20/1988,103173635.0,114.0,Released,Working Girl,6.5,242.0
1806,FALSE,11000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",3527,tt0377800,en,3.348019,"[{'name': 'Sony Pictures Classics', 'id': 58}, {'name': 'Reverse Angle International', 'id': 742}, {'name': 'Océanic Films', 'id': 1166}, {'name': 'Road Movies Filmproduktion', 'id': 8366}, {'name': 'ZDF/Arte', 'id': 11237}, {'name': 'Recorded Picture Company (RPC)', 'id': 11561}, {'name': 'Reverse Angle Pictures (II)', 'id': 14675}, {'name': 'EuroArts Medien AG', 'id': 14676}, {'name': 'Network Movie Film-und Fernsehproduktion', 'id': 14677}, {'name': 'Wim Wenders Stiftung', 'id': 36229}]",5/19/2005,0.0,123.0,Released,Don't Come Knocking,6.4,23.0
1807,FALSE,226408,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",3529,tt0025878,en,10.573867,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",5/25/1934,1423000.0,93.0,Released,The Thin Man,7.4,97.0
1808,FALSE,62000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",3536,tt0141926,en,7.879924,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Canal Plus', 'id': 104}, {'name': 'Dino De Laurentiis Company', 'id': 10308}]",4/20/2000,127666415.0,116.0,Released,U-571,6.1,345.0
1814,FALSE,4500000,"[{'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",3547,tt0062185,en,3.13517,"[{'name': 'Warner Brothers/Seven Arts', 'id': 4051}]",10/10/1967,0.0,108.0,Released,Reflections in a Golden Eye,6.1,16.0
1818,FALSE,40000000,"[{'id': 18, 'name': 'Drama'}]",3558,tt0172493,en,8.285062,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': '3 Arts Entertainment', 'id': 787}, {'name': 'Global Entertainment Productions GmbH & Company Medien KG', 'id': 9269}, {'name': 'Red Wagon Entertainment', 'id': 14440}]",12/21/1999,0.0,127.0,Released,"Girl, Interrupted",7.6,747.0
1819,FALSE,85000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",3563,tt0762107,en,6.645799,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Happy Madison Productions', 'id': 2608}]",7/12/2007,186072214.0,115.0,Released,I Now Pronounce You Chuck & Larry,5.8,640.0
1821,FALSE,6000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",3573,tt0116191,en,6.593011,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'Haft Entertainment', 'id': 1363}, {'name': 'Matchmaker Films', 'id': 1443}]",8/2/1996,22231658.0,121.0,Released,Emma,6.7,152.0
1827,FALSE,55000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",3580,tt0824747,en,11.672394,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Malpaso Productions', 'id': 171}, {'name': 'Relativity Media', 'id': 7295}]",1/30/2008,113020255.0,141.0,Released,Changeling,7.3,1151.0
1830,FALSE,15000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",3586,tt0110907,en,6.259433,"[{'name': 'Miramax Films', 'id': 14}]",12/23/1994,11300653.0,133.0,Released,Prêt-à-Porter,5.3,33.0
1831,FALSE,32000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",3587,tt0115725,en,2.523605,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Yorktown Productions', 'id': 1484}, {'name': 'Warner Bros.', 'id': 6194}]",9/6/1996,0.0,110.0,Released,Bogus,5.4,46.0
1836,FALSE,30000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",3594,tt0481369,en,8.140941,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Contrafilm', 'id': 1836}, {'name': 'Firm Films', 'id': 1838}]",2/23/2007,77566815.0,101.0,Released,The Number 23,6.3,1045.0
1837,FALSE,80000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",3595,tt0117438,en,8.772188,"[{'name': 'Touchstone Pictures', 'id': 9195}, {'name': 'Brian Grazer/Scott Rudin Productions', 'id': 90663}]",11/8/1996,309492681.0,117.0,Released,Ransom,6.4,482.0
1839,FALSE,17000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",3597,tt0119345,en,7.417157,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Mandalay Entertainment', 'id': 1236}, {'name': 'Summer Knowledge LLC', 'id': 1464}]",10/17/1997,125586134.0,100.0,Released,I Know What You Did Last Summer,5.6,698.0
1840,FALSE,4000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",3598,tt0029162,en,3.166544,"[{'name': 'Columbia Pictures Corporation', 'id': 441}]",9/1/1937,0.0,97.0,Released,Lost Horizon,6.8,42.0
1841,FALSE,65000000,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",3600,tt0130018,en,11.023042,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Mandalay Entertainment', 'id': 1236}, {'name': 'Summer Knowledge LLC', 'id': 1464}]",11/13/1998,40002112.0,100.0,Released,I Still Know What You Did Last Summer,5.1,381.0
1844,FALSE,35000000,"[{'id': 878, 'name': 'Science Fiction'}]",3604,tt0080745,en,6.346979,"[{'name': 'Dino De Laurentiis Company', 'id': 10308}, {'name': 'Starling Films', 'id': 23126}]",9/1/1980,27107960.0,111.0,Released,Flash Gordon,6.1,237.0
1847,FALSE,28000000,"[{'id': 35, 'name': 'Comedy'}]",3638,tt0481141,en,9.672317,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Storefront Pictures', 'id': 7747}, {'name': 'WV Films III', 'id': 12202}]",7/25/2007,92601050.0,104.0,Released,No Reservations,6.1,336.0
1850,FALSE,13000000,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}]",3682,tt0120577,en,8.736869,"[{'name': 'Redeemable Features', 'id': 1483}, {'name': 'FilmColony', 'id': 1811}, {'name': 'Miramax', 'id': 53009}, {'name': 'Dollface', 'id': 61337}]",8/28/1998,16757163.0,106.0,Released,54,5.5,138.0
1851,FALSE,90000000,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",3683,tt0418689,en,9.224494,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Malpaso Productions', 'id': 171}, {'name': 'Warner Bros.', 'id': 6194}]",10/18/2006,65900249.0,132.0,Released,Flags of Our Fathers,6.7,532.0
1853,FALSE,700000,"[{'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",3687,tt0068595,en,3.062497,"[{'name': 'Graffiti Productions', 'id': 1493}]",7/30/1974,0.0,90.0,Released,Flesh Gordon,4.5,28.0
1861,FALSE,2300000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",3766,tt0040525,en,8.694857,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Mercury Productions', 'id': 11447}]",12/24/1947,0.0,87.0,Released,The Lady from Shanghai,7.2,108.0
1869,FALSE,9000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",3870,tt0074084,it,6.317822,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'United Artists', 'id': 60}, {'name': 'Les Productions Artistes Associés', 'id': 64}, {'name': 'Artemis Film', 'id': 1521}, {'name': 'Produzioni Europee Associati (PEA)', 'id': 7508}]",9/3/1976,0.0,317.0,Released,1900,7.5,84.0
1871,FALSE,16000000,"[{'id': 18, 'name': 'Drama'}]",3877,tt0469623,en,11.446274,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Neal Street Productions', 'id': 1522}, {'name': 'DreamWorks Pictures', 'id': 7293}, {'name': 'Province of British Columbia Production Services Tax Credit', 'id': 12200}]",9/26/2007,2849142.0,113.0,Released,Things We Lost in the Fire,6.7,90.0
1872,FALSE,20000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",3902,tt0368794,en,9.351557,"[{'name': 'Endgame Entertainment', 'id': 1205}, {'name': 'Rising Star', 'id': 1208}, {'name': 'Killer Films', 'id': 1422}, {'name': 'John Wells Productions', 'id': 1512}, {'name': 'Dreamachine', 'id': 2506}, {'name': 'Film & Entertainment VIP Medienfonds 4 GmbH & Co. KG (I)', 'id': 7416}, {'name': 'Grey Water Park Productions', 'id': 14737}, {'name': 'John Goldwyn Productions', 'id': 17594}, {'name': 'Wells Productions', 'id': 72153}]",10/1/2007,4001121.0,135.0,Released,I'm Not There.,6.6,202.0
